Estado,Clave SIINAH,Siglas,Centro de trabajo,Año,Mes,Tipo de visitantes,Número de visitas,Nacionalidad
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Entrada dominical,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Boleto pagado,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Estudiantes nivel superior,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Boleto pagado,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Exposiciones temporales con costo adicional,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Trabajadores INAH,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,"Tercera edad, pensionados y jubilados",0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Exposiciones temporales con costo adicional,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,8,Entrada sin costo,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Estudiantes nivel superior,35,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Boleto pagado,45,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Exposiciones temporales con costo adicional,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Trabajadores INAH,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,"Tercera edad, pensionados y jubilados",22,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Exposiciones temporales con costo adicional,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Entrada sin costo,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Profesores,6,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Discapacitados,1,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Entrada sin costo,34,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Estudiantes nivel básico,25,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Entrada dominical,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,9,Boleto pagado,2,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Profesores,72,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Discapacitados,1,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Entrada sin costo,24,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Estudiantes nivel básico,34,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Entrada dominical,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Boleto pagado,4,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2020,10,Estudiantes nivel superior,68,Nacional
